time_ns,parallel_raw_sum,perpendicular_raw_sum,parallel_decay_sum,perpendicular_decay_sum,anisotropy_raw_sum,anisotropy_sum,parallel_fit_sum,perpendicular_fit_sum,anisotropy_fit_sum
0.777,0.0,0.0,-659.8889879810896,-513.901355600657,,0.08650136304584291,702693.940192039,436293.0576506673,0.16911334693305413
0.798,0.0,0.0,-659.8889879810896,-513.901355600657,,0.08650136304584291,697700.8868082383,433546.2270106345,0.1688112116182535
0.819,0.0,0.0,-659.8889879810896,-513.901355600657,,0.08650136304584291,692743.3862152037,430816.6923337865,0.16850914063304048
0.84,0.0,0.0,-659.8889879810896,-513.901355600657,,0.08650136304584291,687821.1850948469,428104.3446938165,0.16820713426162234
0.861,0.0,0.0,-659.8889879810896,-513.901355600657,,0.08650136304584291,682934.0319351486,425409.0758505287,0.1679051927894127
0.882,0.0,0.0,-659.8889879810896,-513.901355600657,,0.08650136304584291,678081.6770172714,422730.778245516,0.16760331650303886
0.903,0.0,0.0,-659.8889879810896,-513.901355600657,,0.08650136304584291,673263.8724027699,420069.34499786416,0.16730150569035204
0.924,0.0,0.0,-659.8889879810896,-513.901355600657,,0.08650136304584291,668480.3719208876,417424.66989988467,0.16699976064043437
0.945,0.0,0.0,-659.8889879810896,-513.901355600657,,0.08650136304584291,663730.9311559479,414796.64741287247,0.16669808164360897
0.966,0.0,0.0,-659.8889879810896,-513.901355600657,,0.08650136304584291,659015.3074348319,412185.1726628925,0.166396468991447
0.987,0.0,0.0,-659.8889879810896,-513.901355600657,,0.08650136304584291,654333.2598145487,409590.14143659075,0.16609492297677805
